sentence,suspended,custodial,licence_dis,licence_auto,extended_licence
value,20,20,20,20,20
text, suspended sentence, custodial period of sentence, Part of custodial period spent on licence following discretionary release, Part of custodial period spent on licence following automatic release, Extended licence period
